FAWN	F AO N
HOURS(2)	AW R Z
ENSCONCE	IH N S K AA N S
EXCESS	EH K S EH S
EXCESS(2)	IH K S EH S
HAST	HH AE S T
DEPEND	D IH P EH N D
STRONG	S T R AO NG
RESPECT	R IH S P EH K T
RESPECT(2)	R IY S P EH K T
ENMITY	EH N M AH T IY
ENMITY(2)	EH N M IH T IY
LOSSES	L AO S AH Z
LOSSES(2)	L AO S IH Z
DEARTHS	D ER TH S
REASON	R IY Z AH N
SIMPLY	S IH M P L IY
ACTION	AE K SH AH N
STEEPY	S T IY P IY
EXTANT	EH K S T AH N T
ONWARDS	AA N W ER D Z
DAY'S	D EY Z
DEPART	D IH P AA R T
IMPIETY	IH M P AY AH T IY
TENDERED	T EH N D ER D
FEARFULLY	F IH ER F AH L IY
LION'S	L AY AH N Z
ESTIMATE	EH S T AH M AH T
ESTIMATE(2)	EH S T AH M EY T
UNTHRIFT	AH N TH R IH F T
EYE	AY
TAKES	T EY K S
CHERUBINS	CH AH R UW B AH N Z
CONTAINS	K AH N T EY N Z
TWO	T UW
PEARL	P ER L
MORN	M AO R N
SOIL	S OY L
TAKEN	T EY K AH N
INJURY	IH N JH ER IY
MORE	M AO R
HORSES	HH AO R S AH Z
HORSES(2)	HH AO R S IH Z
WRETCHED	R EH CH IH D
UNLEARNED	AH N L ER N D
UNLEARNED(2)	AH N L ER N ED
KNOWS	N OW Z
DELVES	D EH L V Z
OW'ST	OW S T
FOREGONE	F AO R G AO N
SPOILS	S P OY L Z
WOEFUL	W OW F AH L
EXCUSE	IH K S K Y UW S
EXCUSE(2)	IH K S K Y UW Z
LAMENESS	L EY M N AH S
CONTROLLING	K AH N T R OW L IH NG
BROKE	B R OW K
GRAVEN	G R EY V AH N
KNOWN	N OW N
DOOM	D UW M
GLAD	G L AE D
CUNNING	K AH N IH NG
COMMANDED	K AH M AE N D IH D
LUST	L AH S T
NONE	N AH N
HOUR	AW ER
HOUR(2)	AW R
BESIDES	B IH S AY D Z
BESIDES(2)	B IY S AY D Z
REMAIN	R IH M EY N
REMAIN(2)	R IY M EY N
NINE	N AY N
LEARN	L ER N
MARBLE	M AA R B AH L
HISTORY	HH IH S T ER IY
HISTORY(2)	HH IH S T R IY
BEAUTIFUL	B Y UW T AH F AH L
COMPARE	K AH M P EH R
ATTAINTED	AH T EY N T EH D
VISAGE	V IH Z AH JH
TRIAL	T R AY AH L
TRIAL(2)	T R AY L
SHARE	SH EH R
CONSPIRE	K AH N S P AY ER
THIEVISH	TH IY V IH SH
NUMBERS	N AH M B ER Z
PURCHASED	P ER CH AH S T
SENSE	S EH N S
SHARP	SH AA R P
ALLEGE	AH L EH JH
HUGE	HH Y UW JH
HUGE(2)	Y UW JH
NEEDS	N IY D Z
DRAINED	D R EY N D
SICKEN	S IH K AH N
NEEDY	N IY D IY
'THUS	TH AH Z
COMFORT	K AH M F ER T
CHOPT	CH AA P T
ADDER'S	AE D ER Z
GLOWING	G L OW IH NG
HEART'S	HH AA R T S
SACRED	S EY K R AH D
SACRED(2)	S EY K R IH D
CLOYING	K L OY IH NG
CREATURE	K R IY CH ER
SIMPLICITY	S IH M P L IH S AH T IY
SIMPLICITY(2)	S IH M P L IH S IH T IY
RUDE	R UW D
DISGRACED	D IH S G R EY S T
MENDED	M EH N D IH D
BLOOD	B L AH D
COMING	K AH M IH NG
MONSTERS	M AA N S T ER Z
REPLETE	R IY P L IY T
A	AH
A(2)	EY
REFUSE	R AH F Y UW Z
REFUSE(2)	R EH F Y UW Z
REFUSE(3)	R IH F Y UW Z
SHORT	SH AO R T
RESEMBLE	R IH Z EH M B AH L
RESEMBLE(2)	R IY Z EH M B AH L
SHADY	SH EY D IY
REGISTER	R EH JH IH S T ER
PRESENT'ST	P R IY S EH N T S T
FOOTED	F UH T IH D
SHORE	SH AO R
SHADE	SH EY D
PERJURED	P ER JH ER D
BANKS	B AE NG K S
PLEASURE	P L EH ZH ER
GAV'ST	G AE V S T
PENURY	P EH N Y UH R IY
DREAM	D R IY M
THAT'S	DH AE T S
RECITE	R AH S AY T
HELP	HH EH L P
WINGED	W IH NG D
STAYS	S T EY Z
SOON	S UW N
DISABLED	D IH S EY B AH L D
HELD	HH EH L D
PAPER	P EY P ER
THROUGH	TH R UW
SIGNS	S AY N Z
HELL	HH EH L
SMILING	S M AY L IH NG
SUFFER	S AH F ER
SAUCY	S AO S IY
STYLE	S T AY L
PENT	P EH N T
RENDER	R EH N D ER
TERMED	T ER M D
PRAY	P R EY
INWARD	IH N W ER D
DEEDS	D IY D Z
BOSOM	B UH Z AH M
TEEMING	T IY M IH NG
FAMISHED	F AE M IH SH T
LATE	L EY T
RESORT	R IH Z AO R T
RESORT(2)	R IY Z AO R T
RESORT(3)	R IY S AO R T
ABSENCE	AE B S AH N S
STRANGE	S T R EY N JH
THREESCORE	TH R IY S K OW R
RUINING	R UW IH N IH NG
MIGHT	M AY T
ALTER	AO L T ER
CRAWLS	K R AO L Z
FORBEAR	F AO R B AE ER
FORBEAR(2)	F AO R B AEER
TUNE	T UW N
GOOD	G UH D
GOOD(2)	G IH D
TYRANTS	T AY R AH N T S
KINGLY	K IH NG L IY
SEEKING	S IY K IH NG
FOOD	F UW D
YE	Y IY
YE(2)	Y EH
SPEECHLESS	S P IY CH L AH S
WALLS	W AO L Z
NYMPHS	N IH M F S
THEREOF	DH EH R AH V
WEEDS	W IY D Z
FOOT	F UH T
HUNTED	HH AH N T AH D
HUNTED(2)	HH AH N T IH D
HUNTED(3)	HH AH N AH D
HUNTED(4)	HH AH N IH D
BREATHERS	B R IY DH ER Z
MISTRESS'	M IH S T R AH S
COMPLAIN	K AH M P L EY N
LIKENESS	L AY K N AH S
IMPRISONED	IH M P R IH Z AH N D
BENT	B EH N T
ALWAYS	AO L W EY Z
ALWAYS(2)	AO L W IY Z
TRUTHS	T R UW TH S
ELOQUENCE	EH L AH K W AH N S
TEAR	T EH R
TEAR(2)	T IH R
STOPPED	S T AA P T
TURNS	T ER N Z
FOUND	F AW N D
HEAVY	HH EH V IY
WEIGHS	W EY Z
BENDS	B EH N D Z
WEIGHT	W EY T
HOUSE	HH AW S
HARD	HH AA R D
OPPRESSED	AH P R EH S T
SURLY	S ER L IY
NATURE'S	N EY CH ER Z
BEYOND	B IH AA N D
BEYOND(2)	B IY AO N D
BEYOND(3)	B IH AO N D
ORIENT	AO R IY EH N T
TRAVELS	T R AE V AH L Z
LOVERS	L AH V ER Z
MISSED	M IH S T
SINCE	S IH N S
PUBLISH	P AH B L IH SH
ADMIRED	AH D M AY ER D
HEALTH	HH EH L TH
HILL	HH IH L
PRINT	P R IH N T
DARLING	D AA R L IH NG
ISSUE	IH SH UW
SYMPATHIZED	S IH M P AH TH AY Z D
STEWARDS	S T UW ER D Z
BOLDNESS	B OW L D N AH S
BELIED	B IH L AY D
COMMITS	K AH M IH T S
FORGIVE	F ER G IH V
FORGIVE(2)	F AO R G IH V
PLEASANT	P L EH Z AH N T
QUALIFY	K W AA L AH F AY
BASE	B EY S
IMPEACHED	IH M P IY CH T
PUT	P UH T
TEACH	T IY CH
REPROACH	R IY P R OW CH
KNOW'ST	N OW S T
BEAST	B IY S T
OWNERS	OW N ER Z
SERVICE	S ER V AH S
SERVICE(2)	S ER V IH S
WOMAN'S	W UH M AH N Z
NOTED	N OW T AH D
NOTED(2)	N OW T IH D
RONDURE	R AA N D Y AH R
PURE	P Y UH R
TWENTY	T W EH N T IY
CORRUPTING	K ER AH P T IH NG
FEED	F IY D
GAZED	G EY Z D
SEEMING	S IY M IH NG
FORWARDS	F AO R W ER D Z
BLUSH	B L AH SH
FEEL	F IY L
NUMBER	N AH M B ER
ANTIQUITY	AE N T IH K W AH T IY
ELDER	EH L D ER
ENLARGED	EH N L AA R JH D
REVOLUTION	R EH V AH L UW SH AH N
DONE	D AH N
DEFECTS	D IY F EH K T S
DEFECTS(2)	D IH F EH K T S
SLEPT	S L EH P T
RENTS	R EH N T S
MOAN	M OW N
HORSE	HH AO R S
GUEST	G EH S T
BECOME	B IH K AH M
SWART	S W AO R T
TOGETHER	T AH G EH DH ER
SLANDERERS	S L AE N D ER ER Z
LEAST	L IY S T
HALLOWED	HH AE L OW D
SHAMED	SH EY M D
STORM	S T AO R M
ESSAYS	EH S EY Z
HUNDRED	HH AH N D R AH D
HUNDRED(2)	HH AH N D R IH D
HUNDRED(3)	HH AH N ER D
HUNDRED(4)	HH AH N D ER D
STORE	S T AO R
LEASE	L IY S
NUMBERED	N AH M B ER D
YOUNGLY	Y AH NG L IY
SELLING	S EH L IH NG
IMPERFECT	IH M P ER F IH K T
PASSED	P AE S T
LONGING	L AO NG IH NG
ADONIS	AH D AA N AH S
PART	P AA R T
BOWER	B AW ER
BELIEVE	B IH L IY V
GRACE	G R EY S
KING	K IH NG
KIND	K AY N D
GREW	G R UW
MORTALITY	M AO R T AE L AH T IY
VIAL	V AY AH L
DOUBLE	D AH B AH L
ANTICIPATE	AE N T IH S AH P EY T
MORTGAGED	M AO R G IH JH D
GREY	G R EY
SHALLOWEST	SH AE L OW AH S T
YOUTH	Y UW TH
AUTUMN	AO T AH M
DETERMINED	D IH T ER M AH N D
CONTRARY	K AA N T R EH R IY
CONTRARY(2)	K AH N T R EH R IY
SUPPOSED	S AH P OW Z D
TOWARD	T AH W AO R D
TOWARD(2)	T AO R D
RESTFUL	R EH S T F AH L
AFAR	AH F AA R
TONGUES	T AH NG Z
TRIFLES	T R AY F AH L Z
AGES	EY JH IH Z
DEFECT	D IY F EH K T
DEFECT(2)	D IH F EH K T
LIVERY	L IH V ER IY
SUBSTANTIAL	S AH B S T AE N SH AH L
ALIKE	AH L AY K
SHOWERS	SH AW ER Z
TRAVAIL	T R AH V EY L
FADING	F EY D IH NG
SENSUAL	S EH N SH AH W AH L
SENSUAL(2)	S EH N SH AHWAH L
SELL	S EH L
MOUNTAIN	M AW N T AH N
NIGHTS	N AY T S
BUILT	B IH L T
DRUNK	D R AH NG K
DANCING	D AE N S IH NG
SELF	S EH L F
ONSET	AA N S EH T
ONSET(2)	AO N S EH T
LIFTS	L IH F T S
LIP	L IH P
FINDING	F AY N D IH NG
DRINKS	D R IH NG K S
CHARY	CH AA R IY
CHARY(2)	CH AARIY
ART'S	AA R T S
'HAD	HH AE D
TOWARDS	T AH W AO R D Z
TOWARDS(2)	T AO R D Z
RECKON	R EH K AH N
DROWNS	D R AW N Z
UNSWAYED	AH N S W EY D
UNUSED	AH N Y UW Z D
UNUSED(2)	AH N Y UW Z ED
MOST	M OW S T
MOST(2)	M OW S
FANGLED	F AE NG G AH L D
OFFENCES	AH F EH N S IH Z
BLUNTING	B L AH N T IH NG
AMAZETH	AH M EY Z IH TH
NOTHING	N AH TH IH NG
SEASONS	S IY Z AH N Z
O'ERCHARGED	AHAH R CH AH R JH D
WASTES	W EY S T S
MEASURED	M EH ZH ER D
STANDS	S T AE N D Z
CHRONICLE	K R AA N IH K AH L
FEASTING	F IY S T IH NG
WINDOWS	W IH N D OW Z
BUILDED	B IH L D IH D
CLEAR	K L IH R
SOMETIMES	S AH M T AY M Z
COVER	K AH V ER
COVER(2)	K AHVER
UNBRED	AH N B R EH D
WANING	W EY N IH NG
REELETH	R IY L IH TH
BARREN	B AE R AH N
BARREN(2)	B EH R AH N
CONVERTEST	K AH N V ER T AH S T
EISEL	AY S AH L
LYING	L AY IH NG
STONES	S T OW N Z
BENDING	B EH N D IH NG
DESPISE	D IH S P AY Z
GOLD	G OW L D
GATES	G EY T S
Y'HAVE	Y HH EY V
WAILING	W EY L IH NG
FOND	F AA N D
RHYMERS	R AY M ER Z
WASTED	W EY S T AH D
WASTED(2)	W EY S T IH D
REGISTERS	R EH JH AH S T ER Z
REGISTERS(2)	R EH JH IH S T ER Z
FINE	F AY N
FIND	F AY N D
VIEWEST	V Y UW AH S T
SPORTIVE	S P OW R T IH V
GILDED	G IH L D IH D
FLATTERY	F L AE T ER IY
SHOULDST	SH OW L D S T
DESERTS	D EH Z ER T S
DESERTS(2)	D IH Z ER T S
RUIN	R UW AH N
RUIN(2)	R UW IH N
LESS	L EH S
WAITING	W EY T IH NG
VISION	V IH ZH AH N
BETRAY	B IH T R EY
BEAUTEOUS	B Y UW T IYAH S
FIEND	F IY N D
PAINTER'S	P EY N T ER Z
PAINTER'S(2)	P EY N ER Z
NIGGARD	N IH G ER D
GAINS	G EY N Z
MERCY	M ER S IY
COMPILED	K AH M P AY L D
EXPRESS	IH K S P R EH S
IMPREGNABLE	IH M P R EH G N AH B AH L
TREES	T R IY Z
REMEDY	R EH M AH D IY
HID	HH IH D
BREAST	B R EH S T
THEFT	TH EH F T
COMPASS	K AH M P AH S
SEPULCHRES	S EH P AH L K ER Z
SEND'ST	S EH N D S T
HIM	HH IH M
HIM(2)	IH M
DISTRACTION	D IH S T R AE K SH AH N
GRIEVANCES	G R IY V AH N S AH Z
GRIEVANCES(2)	G R IY V AH N S IH Z
PLEASURES	P L EH ZH ER Z
CRY	K R AY
IMPANELLED	IH M P AE N AH L D
REMOVE	R IY M UW V
AUGURS	AO G ER Z
COMMON	K AA M AH N
KILL	K IH L
POISONED	P OY Z AH N D
WRONGFULLY	R AO NG F AH L IY
BARS	B AA R Z
SET	S EH T
ART	AA R T
DECLINES	D IH K L AY N Z
JADE	JH EY D
O'ERSWAYS	OWER Z W EY Z
SEE	S IY
BARE	B EH R
ARE	AA R
ARE(2)	ER
SEA	S IY
PRESENTETH	P R EH Z AH N T IH TH
BARK	B AA R K
OUTWARD	AW T W ER D
SPIRITS	S P IH R IH T S
FORLORN	F ER L AO R N
PLEASE	P L IY Z
DROOPING	D R UW P IH NG
UNIONS	Y UW N Y AH N Z
WON	W AH N
WON(2)	W AA N
GENTLEST	JH EH N T AH L AH S T
AFFAIRS	AH F EH R Z
WOE	W OW
GUILT	G IH L T
RITE	R AY T
TIBEY	T IH B IY
THRIVE	TH R AY V
ENDURE	EH N D Y UH R
ENDURE(2)	IH N D UH R
KNOWING	N OW IH NG
CREATING	K R IY EY T IH NG
SOLD	S OW L D
SOLE	S OW L
VANISHING	V AE N IH SH IH NG
DEATH	D EH TH
ALTERS	AO L T ER Z
BOTH	B OW TH
FEELING	F IY L IH NG
LAST	L AE S T
GROUNDED	G R AW N D IH D
DESIRED	D IH Z AYER D
DESIRED(2)	D IH Z AY ER D
THOU	DH AW
ANON	AE N AH N
FORGOTTEN	F ER G AA T AH N
FORGOTTEN(2)	F AO R G AA T AH N
POVERTY	P AA V ER T IY
POSSESSETH	P AH Z EH S IH TH
APPROVE	AH P R UW V
FINDS	F AY N D Z
USEST	Y UW S AH S T
FLIES	F L AY Z
MAJESTY	M AE JH AH S T IY
POINT	P OY N T
REASONS	R IY Z AH N Z
SWEET	S W IY T
LOAN	L OW N
MANNERS	M AE N ER Z
EXCEPT	IH K S EH P T
LIKER	L AY K ER
WORTHLESS	W ER TH L AH S
DEVIL	D EH V AH L
UNWORTHINESS	AH N W ER DH IY N AH S
'SCAPED	S K EY P T
ARREST	ER EH S T
STAMP	S T AE M P
DEVOURING	D IH V AW ER IH NG
ACCEPTANCE	AE K S EH P T AH N S
ACCEPTANCE(2)	AH K S EH P T AH N S
SATIRE	S AE T AY ER
DUE	D UW
DUE(2)	D Y UW
ADULTERATE	AH D AH L T ER EY T
WHOM	HH UW M
SECRET	S IY K R AH T
SECRET(2)	S IY K R IH T
WOOD'S	W UH D Z
WAIT	W EY T
DELIGHTS	D IH L AY T S
ROSY	R OW Z IY
FIRM	F ER M
RESTING	R EH S T IH NG
LIVED	L IH V D
LIVED(2)	L AY V D
PARTLY	P AA R T L IY
GAY	G EY
'TWIXT	T W IH K S T
FIRE	F AY ER
FIRE(2)	F AY R
DIAL'S	D AY AH L Z
DIAL'S(2)	D AY L Z
OVERTHROW	OW V ER TH R OW
CONVERT	K AA N V ER T
CONVERT(2)	K AH N V ER T
ELSE	EH L S
LIVES	L IH V Z
LIVES(2)	L AY V Z
RECEIVE	R AH S IY V
RECEIVE(2)	R IH S IY V
RECEIVE(3)	R IY S IY V
MOURNFUL	M AO R N F AH L
PLANTS	P L AE N T S
UTMOST	AH T M OW S T
LOOK	L UH K
STRAIGHT	S T R EY T
ADMIRE	AE D M AY R
PACE	P EY S
WHILE	W AY L
WHILE(2)	HH W AY L
RIGOUR	R IH G AH R
INTERMIXED'	IH N T ER M IH K S T
KISSING	K IH S IH NG
ECLIPSES	IH K L IH P S IH Z
ECLIPSES(2)	IY K L IH P S IH Z
COSTLY	K AA S T L IY
COSTLY(2)	K AO S T L IY
ODOUR	OW D ER
IS'T	IH S T
CONFOUND	K AA N F AW N D
CONFOUND(2)	K AH N F AW N D
VOW	V AW
FRANTIC	F R AE N T IH K
UNPERFECT	AH N P ER F AH K T
OWES	OW Z
SEEN	S IY N
RID	R IH D
SEEST	S IY AH S T
SEEST(2)	S IYAH S T
FAIRER	F EH R ER
CHASE	CH EY S
TWOFOLD	T UW F OW L D
GRANT	G R AE N T
LENGTHS	L EH NG K TH S
LENGTHS(2)	L EH NG TH S
BRISTLY	B R IH S AH L IY
BELONG	B IH L AO NG
ENGROSSED	IH N G R OW S T
WHEREIN	W EH R IH N
WHEREIN(2)	HH W EH R IH N
DISCOURSE	D IH S K AO R S
ESTEEMED	EH S T IY M D
RUTH	R UW TH
COMPOSITION	K AA M P AH Z IH SH AH N
COVETOUS	K AH V AH T AH S
USED	Y UW Z D
USED(2)	Y UW ZE D
LIE	L AY
MOW	M OW
MOMENT	M OW M AH N T
FLOWN	F L OW N
MOVING	M UW V IH NG
PURPOSE	P ER P AH S
WRETCHCD	R EH CH D
EARLY	ER L IY
TASK	T AE S K
OLDER	OW L D ER
ACCUMULATE	AH K Y UW M Y AH L EY T
BEVEL	B EH V AH L
CHEEK	CH IY K
LOATHSOME	L OW DH S AH M
LOATHSOME(2)	L OW TH S AH M
FROWN'ST	F R OW N S T
GRIND	G R AY N D
MORROW	M AA R OW
MORROW(2)	M AO R OW
CHEER	CH IH R
EDGE	EH JH
STARVED	S T AA R V D
TOIL	T OY L
STELLED	S T EH L D
SPEND	S P EH N D
GROSSLY	G R OW S L IY
PLAGUES	P L EY G Z
PRESUME	P R IH Z UW M
SALVE	S AA V
SHAPE	SH EY P
ARIGHT	AH R AY T
INJURIES	IH N JH ER IY Z
UNTO	AH N T UW
GEMS	JH EH M Z
TABLES	T EY B AH L Z
CUT	K AH T
CUP	K AH P
HATED	HH EY T AH D
HATED(2)	HH EY T IH D
DECAYED	D IH K EY D
WEAKNESS	W IY K N AH S
HUES	HH Y UW Z
CRYING	K R AY IH NG
EITHER'S	IY DH ER Z
TONGUE'S	T AH NG Z
MARCH	M AA R CH
LACKING	L AE K IH NG
BIG	B IH G
BID	B IH D
ADVOCATE	AE D V AH K AH T
ADVOCATE(2)	AE D V AH K EY T
JUDGEMENT	JH AH JH M AH N T
REDEEM	R IH D IY M
QUEST	K W EH S T
MESSENGERS	M EH S AH N JH ER Z
DEARLY	D IH R L IY
NECESSARY	N EH S AH S EH R IY
SHARPENED	SH AA R P AH N D
GARMENTS'	G AA R M AH N T S
OUTRIGHT	AW T R AY T
INVITING	IH N V AY T IH NG
FOLLOWS	F AA L OW Z
HATE'	HH EY T
STRIFE	S T R AY F
SHAPES	SH EY P S
TRANSLATED	T R AE N Z L EY T AH D
TRANSLATED(2)	T R AE N S L EY T IH D
TRIBES	T R AY B Z
FOOLISH	F UW L IH SH
CANST	K AE N S T
WRACK	R AE K
OFTEN	AO F T AH N
OFTEN(2)	AO F AH N
WOMBS	W UW M Z
SPRING	S P R IH NG
SPRING(2)	S P ER IH NG
CREATION	K R IY EY SH AH N
SOME	S AH M
PLAY	P L EY
SIGHS	S AY Z
LIPS	L IH P S
ADDED	AE D IH D
SIGHT	S AY T
CURIOUS	K Y UH R IY AH S
CURIOUS(2)	K Y UH R IYAH S
PALE	P EY L
SAUCES	S AO S AH Z
SAUCES(2)	S AO S IH Z
DELIVERED	D IH L IH V ER D
ACQUAINTANCE	AH K W EY N T AH N S
FAIRING	F EH R IH NG
SHALL	SH AE L
OBLIVION	AH B L IH V IYAH N
BALMY	B AA M IY
PEN	P EH N
BARRENLY	B AE R AH N L IY
LARK	L AA R K
WORSHIP	W ER SH AH P
WORSHIP(2)	W ER SH IH P
BE	B IY
EATING	IY T IH NG
REMEMBERED	R IH M EH M B ER D
REMEMBERED(2)	R IY M EH M B ER D
CLAY	K L EY
SHADOW'S	SH AE D OW Z
'THIS	TH IH Z
ALOFT	AH L AO F T
RENT	R EH N T
FEE	F IY
CONCEALED	K AH N S IY L D
UNIVERSE	Y UW N AH V ER S
BY	B AY
SHINE	SH AY N
FAITH	F EY TH
DESERVED	D IH Z ER V D
WRINKLES	R IH NG K AH L Z
DESERVES	D IH Z ER V Z
AMBUSH	AE M B UH SH
HATRED	HH EY T R AH D
TENANTS	T EH N AH N T S
YOUTHFUL	Y UW TH F AH L
MISPLACED	M IH S P L EY S T
REPAIR	R IH P EH R
CONQUEST	K AA NG K W EH S T
WITHIN	W IH DH IH N
WITHIN(2)	W IH TH IH N
WARMED	W AO R M D
DEBATETH	D AH B EY T IH TH
SERVICES	S ER V AH S AH Z
SERVICES(2)	S ER V IH S IH Z
BECAUSE	B IH K AO Z
BECAUSE(2)	B IH K AH Z
BECAUSE(3)	B IH K AA Z
REMEMBRANCE	R IY M EH M B R AH N S
LESSON	L EH S AH N
SHARP'ST	SH AA R P S T
SMELLS	S M EH L Z
TORN	T AO R N
STORY	S T AO R IY
FEATURELESS	F IY CH ER L AH S
SPENDING	S P EH N D IH NG
QUESTION	K W EH S CH AH N
QUESTION(2)	K W EH SH AH N
CHIDE	CH AY D
WHERETO	W EH R T OW
SLANDERING	S L AE N D ER IH NG
SUIT	S UW T
FORWARD	F AO R W ER D
TRANSLATE	T R AE N Z L EY T
TRANSLATE(2)	T R AE N S L EY T
HIMSELF	HH IH M S EH L F
ELSEWHERE	EH L S W EH R
GOVERNS	G AH V ER N Z
GRACIOUSLY	G R EY SH AH S L IY
HEALTHFUL	HH EH L TH F AH L
FROST	F R AO S T
VOWING	V AW IH NG
AUTHORITY	AH TH AO R AH T IY
NEWER	N UW ER
FILED	F AY L D
HOPES	HH OW P S
LINE	L AY N
DULL	D AH L
USURY	Y UW ZH ER IY
USURY(2)	Y UW Z ER IY
DIRECTED	D ER EH K T AH D
DIRECTED(2)	D ER EH K T IH D
DIRECTED(3)	D AY R EH K T IH D
DIRECTED(4)	D IH R EH K T IH D
HUSH	HH AH SH
IMMURED	IH M Y AH R D
LOVER'S	L AH V ER Z
SULLIED	S AH L IY D
US	AH S
US(2)	Y UW EH S
LORDS	L AO R D Z
MATURITY	M AH CH UH R AH T IY
MATURITY(2)	M AH T Y UH R IH T IY
SLANDER	S L AE N D ER
HIED	HH AY D
CALLED	K AO L D
VASSALAGE	V AE S AH L IH JH
BELL	B EH L
SORT	S AO R T
CONSTANT	K AA N S T AH N T
BIND	B AY N D
GOODLY	G UH D L IY
WILLED	W IH L D
ALLAYED	AH L EY D
INFLUENCE	IH N F L UW AH N S
INFLUENCE(2)	IH N F L UWAH N S
RARITIES	R EH R IH T IY Z
SINGLE	S IH NG G AH L
MIGHTIER	M AY T IYER
ASSAILED	AH S EY L D
SURMISE	S ER M AY Z
RAINY	R EY N IY
SULLEN	S AH L AH N
SUNKEN	S AH NG K AH N
IMPEDIMENTS	IH M P EH D AH M AH N T S
PEACE	P IY S
FEARS	F IH R Z
DIMMED	D IH M D
AFFORD	AH F AO R D
BECOMES	B IH K AH M Z
NAY	N EY
MOCK	M AA K
PERUSAL	P ER UW Z AH L
DRAW	D R AO
ELEMENTS	EH L AH M AH N T S
CLEAN	K L IY N
BESIEGE	B IH S IY JH
BREASTS	B R EH S T S
RISE	R AY Z
WEIGH	W EY
MAKELESS	M EY K L AH S
WRINKLE	R IH NG K AH L
DESERT	D EH Z ER T
DESERT(2)	D IH Z ER T
LAND	L AE N D
HAPPIER	HH AE P IY ER
HAPPIER(2)	HH AE P IYER
EXCUSE'	IH K S K Y UW S
EXCUSE'(2)	IH K S K Y UW Z
SPEND'ST	S P EH N D S T
VICE	V AY S
AGE	EY JH
WARDS	W AO R D Z
ADMIRING	AE D M AY R IH NG
HEATS	HH IY T S
CAME	K EY M
FRESH	F R EH SH
MARVEL	M AA R V AH L
HAVING	HH AE V IH NG
ONCE	W AH N S
PARTIAL	P AA R SH AH L
WILFULNESS	W IH L F AH L N AH S
DISCONTENT	D IH S K AH N T EH N T
HIGHMOST	HH AY M OW S T
TOMBS	T UW M Z
DEFORMED'ST	D AH F AO R M AH D S T
ALIEN	EY L IY AH N
WINDY	W IH N D IY
WINDY(2)	W AY N D IY
GO	G OW
RUMINATE	R UW M IH N EY T
SEEMED	S IY M D
GRAVES	G R EY V Z
TINCTURE	T IH NG K CH ER
UPHOLD	AH P HH OW L D
RECKONED	R EH K AH N D
YOUNG	Y AH NG
SEND	S EH N D
DEBARRED	D IY B AA R D
PLEASING	P L IY Z IH NG
VIRTUOUS	V ER CH UW AH S
VIRTUOUS(2)	V ER CH UWAH S
QUEEN	K W IY N
WISHED	W IH SH T
TORTURE	T AO R CH ER
'NOW	N OW
'NOT	N AA T
CONFOUNDING	K AH N F AW N D IH NG
RHYME	R AY M
LANGUISHED	L AE NG G W IH SH T
REBUKED	R IH B Y UW K T
REBUKED(2)	R IY B Y UW K T
SCANTED	S K AE N T IH D
ACCUSE	AH K Y UW Z
TELLING	T EH L IH NG
INIQUITY	IH N IH K W IH T IY
BONDS	B AA N D Z
TRY	T R AY
EVE'S	IY V Z
RACE	R EY S
VERDICT	V ER D IH K T
BETWIXT	B IY T W IH K S T
RACK	R AE K
ALT'RING	AE L T R AH NG
CROW	K R OW
WORK'S	W ER K S
THINLY	TH IH N L IY
WAKING	W EY K IH NG
JUMP	JH AH M P
FOLD	F OW L D
ISSUELESS	IH SH UW L AH S
PLEAD	P L IY D
DECREES	D IH K R IY Z
VICTOR	V IH K T ER
GIVING	G IH V IH NG
SURETY	SH UH R AH T IY
SURETY(2)	SH UH R AHTIY
SAW	S AO
EXPRESSED	IH K S P R EH S T
MAN'S	M AE N Z
ROTTEN	R AA T AH N
BIRD	B ER D
BODY	B AA D IY
MELANCHOLY	M EH L AH N K AA L IY
CHOSE	CH OW Z
GATHERED	G AE DH ER D
SINS	S IH N Z
NIMBLE	N IH M B AH L
SCYTHE	S IH TH
SCYTHE(2)	S AY TH
OBJECTS	AA B JH EH K T S
OBJECTS(2)	AH B JH EH K T S
LET	L EH T
SEPARATION	S EH P ER EY SH AH N
OTHERS	AH DH ER Z
DISSUADE	D IH S W EY D
SING	S IH NG
MISER	M AY Z ER
EXTREME	IH K S T R IY M
GREAT	G R EY T
BURTHENS	B AH R TH AH N Z
CONCEIT	K AH N S IY T
METRE	M IY T ER
LEAVING	L IY V IH NG
SURVEY	S ER V EY
DEFEAT	D IH F IY T
PROOF	P R UW F
MAKES	M EY K S
WRITES	R AY T S
COMPOSED	K AH M P OW Z D
THRALLED	TH R AO L D
CHASTE	CH EY S T
APPLE	AE P AH L
SIRE	S AY ER
FORBID	F ER B IH D
FORBID(2)	F AO B IH D
WIN	W IH N
WHOE'ER	W OW AH AH R
PRIVATE	P R AY V AH T
UPREAR	AH P R IHER
INSTINCT	IH N S T IH NG K T
WIT	W IH T
DECREASE	D IH K R IY S
DECREASE(2)	D IY K R IY S
SCANDAL	S K AE N D AH L
CLOUD	K L AW D
DESIRING	D IH Z AY ER IH NG
LOVERS'	L AH V ER Z
USE	Y UW S
USE(2)	Y UW Z
CHEERED	CH IH R D
FROM	F R AH M
REMAINS	R IH M EY N Z
REMAINS(2)	R IY M EY N Z
HAMMERED	HH AE M ER D
NEXT	N EH K S T
