RB, JJS, IN, 2
RB, CC, JJ, 55
IN, TO, WP, 5
RB, NN, IN, 183
DT, VBG, VBZ, 6
NN, PRP, VB, 33
VBD, PRP, PRP$, 15
RP, WRB, NN, 1
VBP, VB, PRP, 3
VBD, RP, VBD, 1
RB, WRB, VBD, 5
NN, DT, CD, 43
NNS, CD, JJ, 7
JJR, NN, DT, 8
NNP, VBZ, JJS, 1
IN, WRB, JJ, 33
PRP, WP, DT, 4
MD, VB, WRB, 25
WRB, WRB, PRP, 1
DT, VBZ, CD, 9
RBR, VB, RB, 3
CC, NN, DT, 154
RB, VBZ, CD, 4
WDT, VBG, MD, 1
JJS, CD, VBD, 2
NNP, IN, PRP$, 1
RP, CC, VBG, 6
VBZ, VBG, PRP$, 13
TO, VB, JJS, 7
PRP, RP, VB, 1
CD, RB, NNS, 1
NN, PRP, IN, 166
IN, WP, CD, 5
PRP, RB, VBG, 43
VBG, CD, IN, 6
WDT, VB, NN, 1
RB, VBD, IN, 279
IN, CC, VBP, 3
RBS, JJ, TO, 6
VBP, CC, PRP, 16
VBP, IN, IN, 44
VB, IN, NNP, 10
RBR, CC, MD, 1
CC, IN, WRB, 3
NNP, CC, VB, 3
IN, JJ, RBS, 2
VB, DT, WP, 4
VBG, JJR, TO, 2
RB, JJ, RBS, 1
NNP, NN, NNS, 25
VBN, VBP, PRP$, 1
PRP, CC, MD, 6
CC, JJS, NN, 7
VBN, CC, CD, 3
CC, JJ, PRP, 19
WDT, VBD, NNS, 4
WRB, VBN, TO, 3
VBD, PDT, NNS, 1
CD, JJ, WP, 1
VBN, VBZ, RB, 3
NNS, NN, RBR, 1
RP, RP, DT, 2
IN, JJR, JJ, 28
MD, VBZ, NN, 1
JJS, IN, JJ, 9
VB, VBP, JJ, 5
VBN, RP, NNS, 4
IN, VBG, PRP, 86
RB, VBG, NN, 85
VBP, VBP, VBG, 1
NN, PRP, NN, 22
NN, DT, VBG, 26
IN, VBG, DT, 301
RP, IN, JJS, 1
RB, JJ, VBD, 21
VBN, RP, PRP$, 20
RB, VB, MD, 2
RB, VB, VBP, 3
RB, VBN, RP, 62
DT, VBN, VBN, 10
WRB, WP, NNS, 1
JJR, RB, RB, 5
NNP, VBP, MD, 2
WRB, RB, DT, 8
WP, RB, VBP, 28
PRP, DT, RP, 1
CD, NNS, IN, 279
VB, RBR, JJ, 23
NNS, PRP, VBP, 172
IN, JJR, NN, 73
TO, VBG, VBZ, 1
JJR, VBG, WRB, 1
JJ, VBD, JJ, 23
CD, CD, DT, 2
NN, RP, IN, 35
CC, JJ, RP, 2
CC, VBZ, RBS, 1
WP, JJ, NNS, 7
NNS, NN, WDT, 5
VBG, NNS, WP, 7
VBZ, VB, DT, 10
TO, DT, JJ, 553
DT, JJS, TO, 2
VB, IN, WRB, 13
VBD, RB, -NONE-, 3
MD, DT, JJ, 17
VBN, CD, VBN, 3
DT, VB, RB, 1
PRP, VBZ, VBD, 3
-NONE-, NNS, IN, 5
WDT, VBD, VBZ, 1
PRP, JJR, RB, 6
PRP$, JJS, VBZ, 1
VBZ, VBZ, RB, 8
PRP, RB, VBN, 62
VBG, RB, NN, 12
IN, IN, PRP, 246
VBZ, VBG, WP, 1
DT, VBN, PRP, 6
JJ, NNS, JJR, 5
EX, VBD, DT, 251
RP, JJ, CC, 4
NN, VBG, WP, 9
JJR, IN, CC, 2
VBD, JJS, JJ, 8
VBD, RB, VBP, 4
CD, VBN, MD, 1
IN, VBZ, VBN, 35
DT, WP, VBP, 46
VBZ, VBG, NNS, 12
NNS, WDT, NN, 120
WP, VBN, IN, 33
PRP, VB, JJR, 5
VBP, NN, PRP, 5
TO, WDT, RB, 1
DT, TO, VB, 26
JJ, CC, WP$, 1
CC, IN, RB, 56
VBZ, CC, VB, 2
VBZ, RB, VB, 125
RBR, VBG, IN, 9
WDT, NNS, VBP, 34
WDT, VBN, VBD, 3
VBG, DT, CC, 3
WP, VBN, VBD, 5
VBZ, RBR, VBN, 6
CC, NNP, DT, 2
WDT, JJ, DT, 5
VBP, VBN, VBD, 4
WDT, VBZ, TO, 20
WDT, CC, JJ, 1
VBZ, CC, TO, 1
VBN, WP, PRP, 7
NN, CC, TO, 121
VBP, WRB, CD, 1
JJ, IN, PRP$, 273
EX, VBG, IN, 3
IN, NNS, NNS, 123
VBP, TO, VB, 474
VBN, NNS, VBZ, 19
VBZ, RB, NN, 50
VB, PRP, VBN, 9
NNS, CC, NN, 334
IN, TO, NN, 39
VBD, -NONE-, VBN, 2
VBP, RB, JJR, 16
PRP$, CC, VBD, 6
RP, JJ, TO, 4
DT, DT, CC, 5
NNP, VB, WP, 1
WDT, PRP, IN, 1
NN, RB, TO, 157
WP, IN, NN, 13
VBZ, NN, -NONE-, 2
VBN, PRP, WRB, 3
PRP$, NN, VBD, 615
IN, JJR, TO, 1
CD, WDT, PRP, 3
JJ, TO, VBG, 4
TO, WDT, NN, 4
TO, DT, RB, 17
WRB, VBD, JJ, 3
MD, VB, CC, 86
NNP, VBZ, NNP, 4
WRB, EX, VBD, 13
VBP, VBN, EX, 2
RB, PRP, RB, 101
RB, TO, WP, 4
VBZ, JJR, JJ, 15
JJ, WP, NNS, 5
VBD, NN, VBN, 32
VBZ, VBD, VBN, 7
NN, VBD, WRB, 34
VBP, PRP$, RB, 2
VBN, CD, VBG, 1
CC, VB, VBG, 15
RB, NNP, VBD, 1
EX, CC, VB, 1
IN, PDT, DT, 12
DT, NNS, WDT, 176
DT, VBG, CC, 17
DT, JJ, CD, 160
RBS, NNS, DT, 1
VBN, CD, NNS, 23
JJ, WP, -NONE-, 2
IN, JJR, VBZ, 1
CC, WDT, NNS, 3
VBD, VBD, VBN, 32
CD, NNS, NNP, 5
JJS, JJ, IN, 28
VBG, WDT, IN, 1
IN, NN, PRP, 453
DT, NNS, VB, 6
CC, VBG, DT, 86
JJS, VBZ, WRB, 1
VBD, DT, TO, 5
CD, TO, CD, 14
RP, RP, IN, 2
VBP, WDT, IN, 2
NNS, WDT, TO, 3
VBD, JJR, VBN, 8
CC, PRP$, RB, 7
WP, VBZ, PRP$, 9
VBP, PRP, PRP$, 9
VBZ, JJ, NNS, 55
WRB, PRP, JJR, 1
PRP, VBZ, WDT, 1
TO, NNS, NNP, 1
VB, CC, VBG, 9
NNP, CD, JJ, 1
VBN, -NONE-, VBZ, 1
IN, VBD, WP, 2
TO, WRB, RB, 2
VBZ, DT, PRP, 3
JJ, VBG, VBN, 4
PRP, WRB, PRP, 42
JJR, CC, IN, 3
CC, DT, WDT, 5
JJ, VBP, CC, 1
PRP, RP, VBP, 1
CC, DT, MD, 11
JJ, PRP, DT, 13
CD, NNS, WP$, 1
RB, RB, WRB, 15
VBD, NNS, VBP, 24
JJR, NNS, CC, 17
RP, MD, PRP, 1
RB, WP, VBP, 2
NN, RB, VBD, 316
IN, RB, VBP, 22
NN, RBR, RB, 5
NN, NNP, IN, 4
NN, PRP$, NNS, 116
DT, DT, WDT, 1
RB, CC, VBD, 84
NN, NNP, VBZ, 23
CD, JJS, NNS, 1
NN, WRB, JJ, 77
WDT, RB, CC, 1
NNS, CD, NNS, 26
WDT, JJ, WRB, 1
DT, CC, IN, 18
WDT, JJS, JJ, 2
JJ, CC, WP, 8
CC, VB, EX, 2
RBR, VBG, CC, 1
CC, NNS, VB, 4
IN, NN, VBG, 227
VBN, CC, IN, 62
VBG, NN, JJS, 1
DT, VBN, VBP, 4
RBR, VBN, RP, 1
NN, PRP, WDT, 2
VBP, NNS, VB, 4
JJ, CC, VBZ, 14
PRP$, IN, NNS, 4
VB, IN, RB, 74
VBD, VBN, NNS, 58
RP, NNS, IN, 20
RBR, WP, VBZ, 1
VB, WP, VBN, 3
VBP, VBN, TO, 159
PRP$, NNS, WDT, 21
NN, VBG, MD, 9
CC, JJ, RB, 28
VBG, NNS, NN, 23
VBN, WRB, PRP, 26
DT, RB, JJS, 6
JJS, IN, NNP, 2
RB, VB, VB, 3
DT, NNP, IN, 1
DT, JJR, MD, 4
IN, PDT, NNS, 5
JJ, DT, DT, 9
VBN, IN, VBG, 42
VBG, NNS, WP$, 2
VBZ, CC, CD, 1
RB, VBN, NN, 181
NNS, NNS, VBP, 67
RB, VBD, NN, 99
IN, RB, VB, 3
VB, PRP, PRP, 37
VBD, VBD, VBG, 7
DT, WDT, DT, 1
CC, PRP$, JJ, 75
VBN, NNS, MD, 31
VBG, VBD, CC, 1
WDT, MD, DT, 1
NNP, VBD, VBZ, 12
WDT, IN, VBG, 2
EX, RB, VB, 1
VB, EX, DT, 1
NN, WP$, RB, 3
CC, VBD, VBP, 3
VBN, WRB, NN, 6
VB, RB, WP, 8
WP, NNS, VBG, 2
VBD, JJR, VBG, 2
PRP$, NNS, MD, 35
EX, VBN, IN, 1
NN, VBD, VBN, 1267
VBP, PRP, DT, 51
WP, CD, MD, 2
VB, WP, VBD, 7
MD, VB, PRP$, 157
PRP$, VBD, VBD, 1
VB, MD, DT, 1
NNS, NN, WP, 3
RB, NN, DT, 41
DT, IN, NN, 102
JJR, VBN, WRB, 2
PRP$, JJS, CC, 1
VBP, VBZ, IN, 9
VB, PRP, NN, 27
JJR, CC, NNS, 3
NN, VBZ, NNP, 15
WRB, CC, NN, 1
WP, DT, MD, 3
NN, MD, VBG, 1
NN, DT, NNS, 342
WRB, VBP, NNS, 2
RBR, JJ, NN, 76
VBP, RP, RB, 14
JJR, VB, NNS, 1
MD, VBN, NN, 1
VBZ, CC, RB, 11
VB, JJ, JJ, 45
VBD, NN, PRP, 56
PRP, WRB, WRB, 1
JJ, CD, VBZ, 4
DT, NN, WDT, 386
NNS, VBZ, JJ, 45
VBN, JJ, TO, 70
VBD, PRP, WP, 12
VB, DT, RBR, 24
NNS, NNP, CC, 1
JJ, DT, CC, 3
NNS, JJS, VBG, 1
WP, -NONE-, VBP, 12
DT, CC, DT, 32
WRB, VBD, VBZ, 1
VBZ, IN, TO, 5
JJ, CC, RB, 195
IN, VBN, MD, 2
DT, PRP, IN, 2
WDT, VBD, PRP$, 6
VB, NN, PRP$, 8
VB, JJR, CC, 9
NNS, PRP$, JJS, 1
DT, VBD, VBD, 1
DT, RBR, PRP, 8
CC, IN, PRP, 213
NN, IN, JJR, 84
VBP, RB, PRP$, 6
VB, EX, VBD, 1
VBN, CD, RB, 2
IN, JJS, EX, 3
JJ, TO, JJ, 75
DT, NNP, NNS, 12
VBZ, WDT, NN, 1
WRB, EX, VBZ, 12
IN, JJ, CD, 8
VB, NN, JJ, 23
JJ, NNS, WP$, 4
VBZ, IN, WP, 11
VB, RB, VB, 36
VB, IN, PDT, 4
NNS, TO, JJ, 29
NNP, DT, JJ, 3
CC, VBP, RB, 28
TO, NN, IN, 173
VBD, VBG, DT, 132
JJ, TO, WRB, 1
VBZ, TO, VBG, 4
NNS, PRP, WDT, 1
PRP, CC, NNP, 2
PRP$, JJS, IN, 1
-NONE-, NN, DT, 1
TO, JJ, IN, 18
TO, RB, JJS, 1
IN, JJR, VBD, 4
VB, WDT, RB, 2
PRP$, VBN, VBG, 3
VBN, NNS, WP$, 3
VBG, VBZ, WRB, 1
WDT, VBD, CD, 2
JJ, VBD, CC, 3
VBN, NNS, PRP$, 1
VBG, VBN, WRB, 1
PDT, RB, VBG, 1
VB, JJ, WP, 2
NNS, VBP, VBD, 27
MD, RB, RBR, 12
VBZ, NNS, JJ, 1
NN, NN, RB, 510
DT, NNS, IN, 1886
VBD, IN, JJS, 17
VB, NN, JJR, 4
RP, JJ, VBD, 4
JJS, NNS, WDT, 2
-NONE-, VBN, VBG, 1
JJS, VBG, JJS, 1
TO, RBR, JJ, 3
VBG, NNS, MD, 17
RB, PRP, PRP, 13
VB, WP, DT, 5
NNS, TO, PRP$, 44
VBD, WDT, NN, 2
PRP$, NNP, NN, 1
VB, CC, IN, 26
IN, PRP$, TO, 12
TO, PRP$, RB, 2
VBZ, JJS, VBG, 1
TO, NN, CD, 3
CD, RB, CD, 1
JJ, PRP, PRP, 2
VBD, VBN, RB, 206
NNS, WDT, VBD, 82
PRP, RP, IN, 38
VBZ, CD, TO, 4
MD, VB, WP, 26
RB, VBD, MD, 3
IN, WDT, TO, 17
RB, CC, VBZ, 6
CD, VBD, NNS, 11
VBP, MD, VB, 21
VBN, NN, MD, 25
JJ, CC, NN, 276
CC, DT, IN, 51
VB, DT, NNP, 33
PDT, NNS, VBD, 1
EX, WDT, DT, 1
JJ, TO, WP, 3
NN, JJ, CD, 3
WDT, VBP, WRB, 2
VBD, VBG, CD, 1
EX, VBD, TO, 9
IN, EX, RB, 1
WDT, -NONE-, NN, 2
NN, NNP, VB, 2
NNS, WP, CD, 1
PRP$, MD, VB, 5
VBP, IN, RB, 36
NNS, NNS, PRP, 9
CC, WP, TO, 1
CC, VBD, JJR, 1
PRP, NN, WRB, 4
MD, WRB, PRP, 2
NN, JJR, VBG, 1
EX, VBP, DT, 42
PRP$, NNS, NN, 42
VBZ, IN, JJ, 124
IN, JJS, PRP$, 1
PRP$, VBG, NNS, 6
VBG, NNS, WRB, 5
RB, PRP$, JJ, 32
PRP, MD, CC, 17
VBZ, JJ, NN, 174
VBD, NN, NNP, 5
PRP, TO, DT, 68
VBD, VBP, NNS, 1
JJ, VBN, CC, 11
NN, PRP, RB, 271
VBP, VBP, RB, 9
VBN, WP, VBZ, 2
NN, VBN, VBD, 3
DT, WDT, VBZ, 5
IN, NNS, WP$, 3
IN, WRB, CC, 2
WDT, VBN, WP, 1
NNP, MD, RB, 1
RP, NNS, WDT, 1
PDT, CC, DT, 1
JJ, TO, VB, 773
PRP$, VBN, VBN, 4
JJR, VBD, CC, 1
VBG, NN, NNS, 110
RB, RBR, MD, 1
PRP, VBZ, CC, 40
VB, NN, TO, 89
VBD, WRB, PRP, 65
VBP, RP, NNS, 2
NNS, VBZ, VBP, 3
PRP, JJ, RP, 1
VBD, CC, IN, 25
NNS, RB, CC, 48
WDT, VBP, VBG, 5
NN, WRB, NNP, 2
VB, CC, VBZ, 3
JJR, IN, VBN, 1
VBN, PRP$, IN, 14
PRP, TO, WDT, 1
VBG, WRB, PRP, 14
-NONE-, RB, JJ, 3
VBN, TO, IN, 6
RB, NN, VBZ, 35
NNS, VBD, WRB, 5
WP, VBP, IN, 11
VB, JJR, VBG, 2
WP, NNS, WRB, 2
VBN, NNS, WP, 10
VB, JJS, VBN, 1
VBG, NNS, VBG, 19
-NONE-, DT, PRP, 1
CC, WRB, MD, 4
NNS, TO, PRP, 19
VBG, DT, VBN, 3
MD, VB, JJR, 34
VBG, PRP$, CC, 1
VBZ, VBG, CC, 17
CC, NN, IN, 676
JJ, CD, DT, 4
NN, VB, RB, 11
JJ, WRB, JJ, 8
VBP, NNS, VBG, 10
VB, RP, JJS, 1
TO, JJ, NN, 154
RB, VBZ, WDT, 1
NNP, NNP, CD, 1
NNS, WP, TO, 2
NN, TO, CC, 4
VBD, VBD, NN, 7
NN, WP, IN, 20
NN, VBP, DT, 88
VB, -NONE-, PRP, 1
VBG, RB, VBG, 9
VBP, VBD, RB, 8
VBD, WP, NNS, 3
RB, PRP, JJR, 1
NNS, CC, MD, 20
RB, VBD, EX, 7
PRP$, CD, VBD, 1
NN, JJR, VBN, 2
VBP, NN, TO, 32
NNS, IN, WDT, 115
PRP, VBG, CC, 2
CC, WRB, VBD, 12
NNS, VBD, MD, 4
WRB, PRP, VBD, 537
NN, CD, MD, 16
TO, PRP, MD, 5
NN, NNS, VBN, 57
CC, NNS, NN, 17
PRP$, VBG, JJR, 1
CC, PRP, RP, 1
TO, WRB, PRP$, 1
VBZ, VBD, IN, 3
VBN, RP, RP, 2
VBP, VBP, JJ, 5
VBG, MD, IN, 1
VBN, EX, IN, 2
VBZ, CC, PRP, 12
NN, VBZ, CD, 39
VBN, TO, RB, 29
JJR, CC, MD, 1
NNS, JJ, NNS, 86
WDT, WRB, PRP, 2
RB, VBD, RBR, 2
RB, VBN, RBR, 7
CD, IN, CC, 3
TO, IN, JJS, 3
VBG, NN, CD, 4
PRP, VBZ, TO, 150
WDT, NNP, VBZ, 1
CD, VBZ, RB, 10
NNP, JJ, NN, 40
NN, PRP$, CC, 2
RB, JJR, DT, 10
NN, CC, WP, 38
PDT, NN, VBD, 1
PRP, WDT, JJS, 1
NN, NN, VBG, 227
CC, NN, WP$, 1
VBP, JJ, NNP, 1
RBR, JJ, RBR, 1
VBP, VBP, PRP$, 3
MD, CC, DT, 2
PRP, JJ, WRB, 1
VB, JJ, NNS, 264
NNS, VBZ, VBG, 26
NN, NN, RP, 3
RB, RB, VBN, 233
WDT, VBP, VBN, 47
WRB, NNS, PRP, 2
VBP, DT, JJR, 6
JJ, CD, IN, 26
RB, IN, WRB, 14
PRP$, JJ, TO, 5
NNP, JJ, JJ, 2
CD, NNS, DT, 71
RBR, RB, RB, 3
CC, TO, PRP, 4
VBN, VBP, DT, 5
CC, CD, RB, 1
WRB, WP, VBZ, 1
DT, NN, CC, 2260
VBP, PRP$, VBG, 3
WDT, DT, JJR, 1
VBP, PRP, JJR, 3
WDT, RB, PRP, 4
VBG, DT, VBG, 18
RBR, JJ, CC, 24
VBG, RP, CC, 13
VBZ, NN, DT, 27
MD, DT, CD, 1
WRB, DT, NNP, 1
CC, VBZ, MD, 1
VBD, WP, -NONE-, 1
VBZ, VBG, VBN, 30
JJS, CC, VB, 1
DT, WDT, PRP, 5
JJ, VB, PRP, 1
PRP$, CC, IN, 4
JJ, WRB, NN, 4
JJ, VBP, DT, 21
VBZ, NNP, NNP, 5
VB, RP, RB, 16
NNS, NN, WRB, 3
VB, VB, CD, 1
IN, JJ, WP, 4
PRP, VB, WRB, 7
DT, VBP, CC, 3
NNS, VBZ, PRP, 11
CD, VBD, PRP, 4
RB, RB, WP$, 2
VBD, DT, VBZ, 2
RBR, VBN, VBD, 1
CC, TO, VBG, 1
VBN, WRB, DT, 28
PRP, RP, PRP, 5
WDT, RB, VBN, 1
VBP, NNP, IN, 1
WDT, VBG, NN, 2
WP, NNS, WDT, 1
CD, NNS, WDT, 14
NNS, CC, VBZ, 29
JJ, JJ, NNP, 1
PRP, VB, JJ, 48
NNP, CC, PRP, 2
NNS, WP$, NNS, 14
-NONE-, NN, VBG, 1
NN, VBP, NNS, 15
WRB, VBD, CD, 2
CD, PRP, VBN, 1
NNS, VBD, NNP, 2
JJR, VBG, JJ, 2
MD, VBG, TO, 1
VBG, TO, JJ, 24
VB, PRP, DT, 111
EX, RB, JJ, 2
MD, RB, MD, 1
IN, IN, JJR, 10
WRB, PRP, VB, 1
VBD, CC, PRP, 51
NNP, VBD, VBG, 1
NN, PRP, CD, 2
NNS, JJR, NN, 8
VB, DT, TO, 6
NNS, VBZ, VBN, 121
VBD, JJ, JJR, 1
VB, JJ, VBN, 8
MD, NNP, VB, 1
PRP, CC, NN, 19
RB, RB, VBG, 65
WDT, NN, JJS, 1
VBN, PRP, JJR, 7
WDT, VBP, JJ, 21
WDT, -NONE-, VB, 2
WP, VBN, TO, 28
VBP, IN, NNP, 7
VBZ, JJR, VBD, 1
VBD, NNS, JJ, 16
PRP$, JJ, JJS, 3
VBP, WP, VBD, 1
VBP, CC, DT, 19
CC, VBZ, VBN, 38
CD, MD, VB, 68
CC, PRP$, RBS, 3
VBZ, VBG, MD, 1
VBD, NNS, JJS, 2
IN, EX, VBZ, 42
CC, RB, VBN, 68
DT, NN, RBR, 11
VBN, DT, VBN, 17
PRP, IN, CD, 28
DT, RB, NNS, 2
VBZ, PRP, DT, 33
RBR, VBN, IN, 16
NN, VBD, CC, 163
NNS, PDT, RB, 1
PRP, VBP, RBR, 11
WP, VBP, VBD, 3
VBZ, WDT, VBD, 3
CC, VBG, CC, 24
VBD, VBD, WP, 1
RB, WP, CD, 3
NN, EX, IN, 8
RB, IN, JJS, 21
IN, VBN, CC, 22
VBD, RB, NNP, 1
RB, NN, CC, 47
DT, VBZ, PRP, 18
WDT, RB, VBZ, 15
PRP, VBP, RB, 555
JJ, VBP, VBG, 2
NN, JJR, NNS, 4
NNS, DT, CC, 3
VB, IN, WP, 10
VB, PRP$, JJ, 137
CC, WP, VBZ, 24
DT, MD, PRP$, 1
VB, DT, WRB, 2
VBG, PRP, MD, 17
VBN, JJR, IN, 9
CC, IN, JJR, 5
WRB, PRP, VBZ, 114
VBP, RB, TO, 61
RBS, JJ, IN, 27
NNP, RB, JJ, 2
NNP, PRP, VBP, 1
CC, TO, VBN, 1
NN, CC, EX, 39
CC, PRP, RB, 257
RB, WP, RB, 3
PRP$, PRP, VBD, 6
CD, NN, IN, 163
NN, TO, PRP$, 163
TO, JJ, CC, 21
VBG, CC, EX, 2
VBD, VBP, CC, 2
NNS, VBN, CD, 2
VBZ, DT, RBS, 13
IN, JJ, TO, 59
VBZ, CC, JJR, 2
VBD, IN, VBP, 1
PRP$, NNS, VBD, 243
WRB, RB, TO, 4
RBS, NN, VBZ, 1
CC, VBG, JJ, 17
WDT, VBP, WP, 1
IN, JJS, CD, 31
VBD, EX, MD, 2
WDT, VBZ, WP, 1
VBZ, JJ, RBR, 8
VBN, CC, NN, 58
JJR, VBN, RB, 2
VBD, VBG, NN, 90
TO, CD, NN, 22
JJR, IN, WRB, 2
NNP, JJR, CC, 1
JJR, IN, NNS, 14
VBZ, JJR, WRB, 1
JJ, WRB, VBN, 2
VBD, NNS, WP, 9
JJS, CC, JJ, 2
JJ, NNS, NNP, 8
RB, VBG, EX, 4
RP, CC, VBZ, 1
NNS, VBD, VBN, 473
VBZ, IN, NNP, 1
VBN, WDT, PRP, 3
VB, WDT, NNS, 2
VBP, JJ, MD, 4
IN, IN, IN, 43
EX, VBP, JJ, 50
NNS, PRP, RP, 1
TO, PRP, VBD, 17
IN, CD, NNP, 1
VBN, IN, CC, 29
PRP, DT, MD, 2
VBN, RB, NNS, 3
CC, JJ, EX, 2
JJ, JJR, MD, 1
VBZ, DT, JJR, 20
CC, CD, RP, 1
NNP, NNS, VBZ, 6
WP, DT, NNP, 1
VB, VBZ, IN, 11
PRP, JJ, RB, 8
VBG, NNS, VBZ, 10
CC, VBZ, RP, 3
PRP, VB, PRP, 64
VBP, TO, VBD, 1
NN, VBG, VBP, 1
RB, IN, RB, 124
IN, NN, DT, 800
JJ, MD, DT, 3
IN, WP, CC, 1
VBN, JJS, DT, 1
NN, IN, VBP, 4
NNS, VBP, VBZ, 24
VBG, WRB, DT, 6
PRP, TO, VBD, 2
DT, VBG, VBP, 1
PDT, PRP$, JJ, 1
NNS, NNS, WP, 6
NN, NN, NN, 2457
PRP, VBZ, NNP, 2
NN, WP, MD, 51
VBD, VBD, PRP$, 3
PRP$, JJ, WRB, 1
NN, VBN, WP, 2
NN, VBD, WP, 18
RBR, NN, CC, 2
PRP, VBN, JJ, 4
WP, NNS, PRP$, 1
VBZ, NN, JJR, 6
RB, WRB, TO, 3
VBZ, PRP, CC, 7
VBP, VB, NNS, 1
CC, NN, CD, 8
WDT, DT, PRP, 1
NNS, VBN, JJR, 1
VBD, NN, CC, 109
RB, VBZ, VBN, 71
CD, WDT, IN, 2
PRP$, NN, RP, 10
TO, NN, VBD, 3
PRP, WP, NN, 2
VBN, RB, NN, 10
-NONE-, NN, JJ, 1
JJ, NN, WRB, 103
RP, IN, NNP, 1
WRB, RB, JJ, 14
PRP$, JJR, NNS, 7
PRP, VBG, WP, 2
NNS, VBP, MD, 8
VBN, RP, IN, 178
RP, CD, CC, 3
JJS, VBD, NN, 3
NN, WDT, VB, 2
WRB, PRP, NN, 1
PRP, VBG, NNS, 4
VBZ, WDT, PRP, 2
RP, RB, IN, 31
NNS, MD, MD, 1
RP, TO, VBG, 1
NNS, IN, PRP$, 520
NN, TO, WP, 12
RBR, DT, NN, 14
VBD, WP, VBZ, 4
VB, NN, VBG, 18
NN, VBP, VBZ, 8
JJ, VBD, VBG, 18
PRP, NNP, NNP, 1
NNP, VBP, RB, 4
TO, RB, NN, 7
JJS, VBG, TO, 1
VBP, CC, TO, 3
NNP, NN, PRP$, 6
VBD, VBD, DT, 23
VB, VBG, WP, 1
CC, NNS, WDT, 41
RB, VBZ, NNP, 2
CC, WDT, RB, 2
WDT, NNP, PRP, 1
-NONE-, IN, NN, 1
VBP, CD, JJR, 1
PRP, -NONE-, JJ, 1
JJS, RB, IN, 8
WDT, MD, PRP, 1
VBD, DT, PRP$, 2
CC, VBD, JJ, 50
VBP, VBN, RBR, 12
NNS, RB, VBN, 92
VBN, TO, CD, 8
VBG, VBN, CC, 17
RP, NNP, NN, 1
PRP, EX, VBD, 1
VBD, NN, MD, 18
NN, MD, DT, 13
PDT, NNS, IN, 4
PRP, JJR, TO, 5
JJR, NNS, WRB, 2
RB, IN, IN, 190
NN, WDT, VBP, 19
VBP, JJR, DT, 1
CC, DT, JJS, 7
PRP, VBP, RP, 95
IN, JJR, DT, 1
VBP, VBP, CC, 2
TO, WDT, JJ, 3
IN, VBG, RBS, 1
WP, IN, PRP$, 8
JJR, JJ, DT, 7
IN, RB, JJR, 20
WP, NNS, DT, 15
IN, WP, MD, 12
RP, RB, VBD, 3
WP, VBG, PRP, 1
NNS, JJ, WP, 2
RB, JJ, VBP, 9
IN, RB, WP, 6
PRP, CC, NNS, 10
RB, VB, VBD, 8
EX, VBG, PRP, 1
JJR, WRB, NN, 1
NNS, RB, MD, 22
NNS, VBN, WDT, 1
CC, VB, CC, 24
RP, NN, RB, 4
CC, VBN, PRP$, 12
DT, VBD, JJS, 1
DT, VBG, IN, 81
JJS, EX, VBP, 1
RB, NN, PRP$, 7
IN, WP, NNS, 16
CC, PRP$, VBN, 5
WDT, VBP, NNS, 3
IN, PRP, MD, 550
JJ, WDT, NN, 2
IN, DT, MD, 48
NNS, WRB, CC, 2
RB, WDT, JJR, 1
TO, WP, PRP, 10
PRP, JJ, NNS, 15
NN, RP, NNS, 2
TO, VBZ, RB, 2
RP, IN, CD, 13
VBN, VBN, PRP, 14
WP, VBN, VBZ, 2
NNS, VBD, VBP, 2
RP, TO, DT, 60
JJ, JJ, IN, 91
JJ, VBN, IN, 77
NNP, VBZ, WDT, 1
IN, NNP, NNS, 18
PRP, RB, VBZ, 130
PRP$, VBN, TO, 2
CD, VBG, NNS, 10
PRP, IN, RB, 66
CD, NNS, VBN, 23
JJ, WP$, NNS, 1
CC, WP, PRP$, 4
VBN, TO, JJR, 2
WRB, IN, PRP, 7
IN, VBZ, VBZ, 1
WDT, VBZ, MD, 5
NNP, JJ, RB, 1
IN, PRP$, IN, 39
CC, VBZ, RB, 42
VBN, DT, RBS, 6
DT, CD, WP, 9
JJ, IN, EX, 18
VB, JJS, JJ, 1
EX, IN, WP, 1
NNS, RB, VBG, 51
WDT, VBP, CC, 1
CD, NNS, RBR, 10
WDT, -NONE-, VBG, 2
WDT, JJ, VBZ, 2
VBP, JJS, IN, 2
IN, PRP$, VBZ, 1
NNS, WP, VBP, 77
WP, DT, NNS, 12
VBP, TO, IN, 3
CC, JJR, IN, 38
VBG, JJR, CC, 2
VB, VBN, VBP, 2
JJ, DT, PRP, 5
WDT, NN, VBP, 9
NN, JJ, MD, 5
CD, VBG, RB, 2
VBN, RB, VBD, 7
PRP, RB, WRB, 10
JJ, NNP, NNP, 11
VB, PRP, VBZ, 27
WDT, PRP, VB, 1
VBZ, IN, VBG, 23
DT, WP, PRP, 5
IN, NNS, DT, 135
PRP, NN, MD, 3
VBD, PRP, VBP, 153
VBZ, NNS, PRP, 4
TO, IN, NNS, 1
WP, MD, PRP, 17
VBZ, MD, VB, 36
NNS, RBR, CC, 3
WDT, IN, RB, 7
IN, PRP, RBS, 2
VB, RBS, RB, 2
VB, PRP, NNP, 1
JJS, DT, JJ, 13
DT, IN, CC, 9
VB, NNS, IN, 189
VBD, PDT, IN, 13
NNP, NNS, RB, 5
VBG, WDT, NNS, 2
